Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,Month,DayOfWeek,AgeGroup
76,2023-03-25,CUST076,Female,22,Electronics,2,50,100,2023-03,Saturday,20-30
77,2023-07-09,CUST077,Female,47,Clothing,2,50,100,2023-07,Sunday,40-50
78,2023-07-01,CUST078,Female,47,Clothing,3,500,1500,2023-07,Saturday,40-50
79,2023-04-18,CUST079,Male,34,Beauty,1,300,300,2023-04,Tuesday, 30-40
80,2023-12-10,CUST080,Female,64,Clothing,2,30,60,2023-12,Sunday,>60
81,2023-05-17,CUST081,Male,40,Electronics,1,50,50,2023-05,Wednesday, 30-40
82,2023-12-26,CUST082,Female,32,Beauty,4,50,200,2023-12,Tuesday, 30-40
83,2023-12-16,CUST083,Male,54,Electronics,2,50,100,2023-12,Saturday,50-60
84,2023-11-28,CUST084,Female,38,Electronics,3,30,90,2023-11,Tuesday, 30-40
85,2023-02-06,CUST085,Male,31,Clothing,3,50,150,2023-02,Monday, 30-40
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90,2023-11,Wednesday,<20
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100,2023-11,Wednesday,20-30
88,2023-03-29,CUST088,Male,56,Clothing,1,500,500,2023-03,Wednesday,50-60
89,2023-10-01,CUST089,Female,55,Electronics,4,500,2000,2023-10,Sunday,50-60
90,2023-05-06,CUST090,Female,51,Electronics,1,30,30,2023-05,Saturday,50-60
91,2023-03-25,CUST091,Female,55,Electronics,1,500,500,2023-03,Saturday,50-60
92,2023-08-25,CUST092,Female,51,Electronics,4,30,120,2023-08,Friday,50-60
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000,2023-07,Friday, 30-40
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000,2023-05,Friday,40-50
95,2023-11-24,CUST095,Female,32,Clothing,2,30,60,2023-11,Friday, 30-40
96,2023-12-19,CUST096,Female,44,Clothing,2,300,600,2023-12,Tuesday,40-50
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000,2023-10,Friday,50-60
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100,2023-04,Sunday,50-60
99,2023-12-17,CUST099,Female,50,Electronics,4,300,1200,2023-12,Sunday,40-50
100,2023-06-16,CUST100,Male,41,Electronics,1,30,30,2023-06,Friday,40-50
101,2023-01-29,CUST101,Male,32,Clothing,2,300,600,2023-01,Sunday, 30-40
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50,2023-04,Friday,40-50
103,2023-01-17,CUST103,Female,59,Clothing,1,25,25,2023-01,Tuesday,50-60
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000,2023-06,Sunday, 30-40
105,2023-07-25,CUST105,Female,22,Electronics,1,500,500,2023-07,Tuesday,20-30
106,2023-05-18,CUST106,Female,46,Clothing,1,50,50,2023-05,Thursday,40-50
107,2023-02-03,CUST107,Female,21,Clothing,4,300,1200,2023-02,Friday,20-30
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75,2023-04,Wednesday,20-30
109,2023-10-18,CUST109,Female,34,Electronics,4,500,2000,2023-10,Wednesday, 30-40
110,2023-06-11,CUST110,Male,27,Clothing,3,300,900,2023-06,Sunday,20-30
111,2023-04-19,CUST111,Female,34,Electronics,3,500,1500,2023-04,Wednesday, 30-40
112,2023-12-02,CUST112,Male,37,Clothing,3,500,1500,2023-12,Saturday, 30-40
113,2023-09-13,CUST113,Female,41,Electronics,2,25,50,2023-09,Wednesday,40-50
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100,2023-07,Saturday,20-30
115,2023-11-26,CUST115,Male,51,Clothing,3,500,1500,2023-11,Sunday,50-60
116,2023-08-23,CUST116,Female,23,Clothing,1,30,30,2023-08,Wednesday,20-30
117,2023-03-15,CUST117,Male,19,Electronics,2,500,1000,2023-03,Wednesday,<20
118,2023-05-16,CUST118,Female,30,Electronics,4,500,2000,2023-05,Tuesday,20-30
119,2023-03-13,CUST119,Female,60,Clothing,3,50,150,2023-03,Monday,50-60
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50,2023-05,Sunday,50-60
121,2023-10-15,CUST121,Female,28,Electronics,4,50,200,2023-10,Sunday,20-30
122,2023-10-03,CUST122,Male,64,Electronics,4,30,120,2023-10,Tuesday,>60
123,2023-05-15,CUST123,Female,40,Electronics,2,30,60,2023-05,Monday, 30-40
124,2023-10-27,CUST124,Male,33,Clothing,4,500,2000,2023-10,Friday, 30-40
125,2023-08-08,CUST125,Male,48,Clothing,2,50,100,2023-08,Tuesday,40-50
126,2023-10-26,CUST126,Female,28,Clothing,3,30,90,2023-10,Thursday,20-30
127,2023-07-24,CUST127,Female,33,Clothing,2,25,50,2023-07,Monday, 30-40
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500,2023-07,Wednesday,20-30
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600,2023-04,Sunday,20-30
130,2023-03-12,CUST130,Female,57,Clothing,1,500,500,2023-03,Sunday,50-60
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600,2023-09,Monday,20-30
132,2023-09-10,CUST132,Male,42,Electronics,4,50,200,2023-09,Sunday,40-50
133,2023-02-16,CUST133,Male,20,Electronics,3,300,900,2023-02,Thursday,<20
134,2023-01-25,CUST134,Male,49,Electronics,1,50,50,2023-01,Wednesday,40-50
135,2023-02-26,CUST135,Male,20,Clothing,2,25,50,2023-02,Sunday,<20
136,2023-03-20,CUST136,Male,44,Electronics,2,300,600,2023-03,Monday,40-50
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000,2023-11,Saturday,40-50
138,2023-03-23,CUST138,Male,49,Clothing,4,50,200,2023-03,Thursday,40-50
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000,2023-12,Friday, 30-40
140,2023-08-05,CUST140,Male,38,Electronics,1,30,30,2023-08,Saturday, 30-40
141,2023-11-02,CUST141,Female,22,Electronics,1,50,50,2023-11,Thursday,20-30
142,2023-02-02,CUST142,Male,35,Electronics,4,300,1200,2023-02,Thursday, 30-40
143,2023-07-17,CUST143,Female,45,Clothing,1,50,50,2023-07,Monday,40-50
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500,2023-07,Saturday,50-60
145,2023-11-02,CUST145,Female,39,Clothing,3,25,75,2023-11,Thursday, 30-40
146,2023-08-28,CUST146,Male,38,Clothing,4,50,200,2023-08,Monday, 30-40
147,2023-09-28,CUST147,Male,23,Electronics,1,300,300,2023-09,Thursday,20-30
148,2023-05-09,CUST148,Male,18,Clothing,2,30,60,2023-05,Tuesday,<20
149,2023-10-11,CUST149,Male,22,Clothing,3,25,75,2023-10,Wednesday,20-30
150,2023-01-06,CUST150,Female,58,Electronics,4,30,120,2023-01,Friday,50-60
151,2023-12-15,CUST151,Male,29,Clothing,1,50,50,2023-12,Friday,20-30
152,2023-02-28,CUST152,Male,43,Electronics,4,500,2000,2023-02,Tuesday,40-50
153,2023-12-16,CUST153,Male,63,Electronics,2,500,1000,2023-12,Saturday,>60
154,2023-10-02,CUST154,Male,51,Electronics,3,300,900,2023-10,Monday,50-60
155,2023-05-17,CUST155,Male,31,Electronics,4,500,2000,2023-05,Wednesday, 30-40
156,2023-11-25,CUST156,Female,43,Clothing,4,25,100,2023-11,Saturday,40-50
157,2023-06-24,CUST157,Male,62,Electronics,4,500,2000,2023-06,Saturday,>60
158,2023-02-27,CUST158,Female,44,Electronics,2,300,600,2023-02,Monday,40-50
159,2023-05-31,CUST159,Male,26,Clothing,4,50,200,2023-05,Wednesday,20-30
160,2023-08-11,CUST160,Female,43,Clothing,2,50,100,2023-08,Friday,40-50
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000,2023-03,Wednesday,>60
162,2023-08-21,CUST162,Male,39,Clothing,2,30,60,2023-08,Monday, 30-40
163,2023-01-02,CUST163,Female,64,Clothing,3,50,150,2023-01,Monday,>60
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500,2023-05,Monday,40-50
165,2023-09-14,CUST165,Female,60,Clothing,4,300,1200,2023-09,Thursday,50-60
166,2023-04-02,CUST166,Male,34,Clothing,4,500,2000,2023-04,Sunday, 30-40
167,2023-09-17,CUST167,Female,43,Clothing,3,50,150,2023-09,Sunday,40-50
168,2023-02-24,CUST168,Male,53,Clothing,1,300,300,2023-02,Friday,50-60
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500,2023-11,Friday,<20
170,2023-06-02,CUST170,Female,25,Clothing,2,25,50,2023-06,Friday,20-30
171,2023-11-24,CUST171,Female,52,Clothing,3,300,900,2023-11,Friday,50-60
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50,2023-09,Sunday, 30-40
173,2023-11-08,CUST173,Male,64,Electronics,4,30,120,2023-11,Wednesday,>60
174,2023-04-12,CUST174,Female,39,Beauty,1,300,300,2023-04,Wednesday, 30-40
175,2023-03-20,CUST175,Female,31,Electronics,4,25,100,2023-03,Monday, 30-40
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100,2023-07,Tuesday,40-50
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100,2023-03,Friday,40-50
178,2023-10-04,CUST178,Male,40,Clothing,2,30,60,2023-10,Wednesday, 30-40
179,2023-09-29,CUST179,Male,31,Electronics,1,300,300,2023-09,Friday, 30-40
180,2023-01-01,CUST180,Male,41,Clothing,3,300,900,2023-01,Sunday,40-50
181,2023-11-03,CUST181,Male,19,Electronics,4,300,1200,2023-11,Friday,<20
182,2023-06-15,CUST182,Male,62,Beauty,4,30,120,2023-06,Thursday,>60
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900,2023-09,Friday,40-50
184,2023-01-10,CUST184,Male,31,Electronics,4,50,200,2023-01,Tuesday, 30-40
185,2023-02-27,CUST185,Male,24,Clothing,1,25,25,2023-02,Monday,20-30
186,2023-07-05,CUST186,Male,20,Clothing,4,50,200,2023-07,Wednesday,<20
187,2023-06-07,CUST187,Female,64,Clothing,2,50,100,2023-06,Wednesday,>60
188,2023-05-03,CUST188,Male,40,Clothing,3,25,75,2023-05,Wednesday, 30-40
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50,2023-01,Monday,>60
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90,2023-05,Thursday,50-60
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25,2023-10,Wednesday,>60
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100,2023-02,Friday,>60
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500,2023-02,Monday, 30-40
194,2023-09-06,CUST194,Male,55,Clothing,4,50,200,2023-09,Wednesday,50-60
195,2023-02-05,CUST195,Male,52,Clothing,1,30,30,2023-02,Sunday,50-60
196,2023-09-30,CUST196,Female,32,Clothing,3,300,900,2023-09,Saturday, 30-40
197,2023-03-06,CUST197,Female,42,Clothing,4,50,200,2023-03,Monday,40-50
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900,2023-03,Tuesday,50-60
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500,2023-12,Monday,40-50
200,2023-09-01,CUST200,Male,27,Beauty,3,50,150,2023-09,Friday,20-30
201,2023-10-09,CUST201,Male,56,Electronics,1,25,25,2023-10,Monday,50-60
202,2023-03-26,CUST202,Female,34,Clothing,4,300,1200,2023-03,Sunday, 30-40
203,2023-05-16,CUST203,Male,56,Clothing,2,500,1000,2023-05,Tuesday,50-60
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25,2023-09,Thursday, 30-40
205,2023-11-07,CUST205,Female,43,Clothing,1,25,25,2023-11,Tuesday,40-50
206,2023-08-05,CUST206,Male,61,Clothing,1,25,25,2023-08,Saturday,>60
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50,2023-04,Wednesday,40-50
208,2023-10-04,CUST208,Female,34,Electronics,4,50,200,2023-10,Wednesday, 30-40
209,2023-12-20,CUST209,Female,30,Electronics,4,50,200,2023-12,Wednesday,20-30
210,2023-04-13,CUST210,Male,37,Electronics,4,50,200,2023-04,Thursday, 30-40
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500,2024-01,Monday,40-50
212,2023-06-09,CUST212,Male,21,Clothing,3,500,1500,2023-06,Friday,20-30
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500,2023-07,Monday,20-30
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60,2023-12,Sunday,<20
215,2023-11-29,CUST215,Male,58,Clothing,3,500,1500,2023-11,Wednesday,50-60
216,2023-07-11,CUST216,Male,62,Electronics,2,50,100,2023-07,Tuesday,>60
217,2023-08-13,CUST217,Female,35,Electronics,4,50,200,2023-08,Sunday, 30-40
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90,2023-09,Friday,>60
219,2023-08-20,CUST219,Female,53,Electronics,3,30,90,2023-08,Sunday,50-60
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500,2023-03,Friday,>60
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600,2023-05,Sunday, 30-40
222,2023-04-26,CUST222,Male,51,Clothing,4,30,120,2023-04,Wednesday,50-60
223,2023-02-02,CUST223,Female,64,Clothing,1,25,25,2023-02,Thursday,>60
224,2023-06-23,CUST224,Female,25,Clothing,1,50,50,2023-06,Friday,20-30
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100,2023-01,Wednesday,50-60
226,2023-10-29,CUST226,Female,61,Clothing,1,50,50,2023-10,Sunday,>60
227,2023-10-11,CUST227,Male,36,Electronics,2,50,100,2023-10,Wednesday, 30-40
228,2023-04-28,CUST228,Female,59,Electronics,2,30,60,2023-04,Friday,50-60
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90,2023-10,Sunday,50-60
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25,2023-04,Sunday,50-60
231,2023-01-04,CUST231,Female,23,Clothing,3,50,150,2023-01,Wednesday,20-30
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25,2023-02,Monday,40-50
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600,2023-12,Friday,50-60
234,2023-11-20,CUST234,Female,62,Electronics,2,25,50,2023-11,Monday,>60
235,2023-01-31,CUST235,Female,23,Electronics,2,500,1000,2023-01,Tuesday,20-30
236,2023-04-28,CUST236,Female,54,Clothing,1,25,25,2023-04,Friday,50-60
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000,2023-02,Saturday,40-50
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500,2023-01,Tuesday, 30-40
239,2023-06-19,CUST239,Male,38,Electronics,3,500,1500,2023-06,Monday, 30-40
240,2023-02-06,CUST240,Female,23,Beauty,1,300,300,2023-02,Monday,20-30
241,2023-09-21,CUST241,Female,23,Electronics,3,25,75,2023-09,Thursday,20-30
242,2023-05-02,CUST242,Male,21,Clothing,1,25,25,2023-05,Tuesday,20-30
243,2023-05-23,CUST243,Female,47,Electronics,3,300,900,2023-05,Tuesday,40-50
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100,2023-12,Saturday,20-30
245,2023-09-06,CUST245,Male,47,Clothing,3,30,90,2023-09,Wednesday,40-50
246,2023-04-20,CUST246,Female,48,Electronics,2,25,50,2023-04,Thursday,40-50
247,2023-10-04,CUST247,Male,41,Electronics,2,30,60,2023-10,Wednesday,40-50
248,2023-03-09,CUST248,Male,26,Clothing,3,300,900,2023-03,Thursday,20-30
249,2023-10-20,CUST249,Male,20,Clothing,1,50,50,2023-10,Friday,<20
250,2023-10-23,CUST250,Male,48,Electronics,1,50,50,2023-10,Monday,40-50
251,2023-08-31,CUST251,Female,57,Beauty,4,50,200,2023-08,Thursday,50-60
252,2023-05-05,CUST252,Male,54,Electronics,1,300,300,2023-05,Friday,50-60
253,2023-08-31,CUST253,Female,53,Clothing,4,500,2000,2023-08,Thursday,50-60
254,2023-07-28,CUST254,Male,41,Electronics,1,500,500,2023-07,Friday,40-50
255,2023-04-08,CUST255,Male,48,Clothing,1,30,30,2023-04,Saturday,40-50
256,2023-02-18,CUST256,Male,23,Clothing,2,500,1000,2023-02,Saturday,20-30
257,2023-02-19,CUST257,Male,19,Beauty,4,500,2000,2023-02,Sunday,<20
258,2023-12-04,CUST258,Female,37,Clothing,1,50,50,2023-12,Monday, 30-40
259,2023-08-09,CUST259,Female,45,Clothing,4,50,200,2023-08,Wednesday,40-50
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60,2023-07,Saturday,20-30
261,2023-08-05,CUST261,Male,21,Clothing,2,25,50,2023-08,Saturday,20-30
262,2023-07-30,CUST262,Female,32,Beauty,4,30,120,2023-07,Sunday, 30-40
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60,2023-08,Monday,20-30
264,2023-01-28,CUST264,Male,47,Clothing,3,300,900,2023-01,Saturday,40-50
265,2023-12-11,CUST265,Male,55,Clothing,3,300,900,2023-12,Monday,50-60
266,2023-12-01,CUST266,Female,19,Electronics,2,30,60,2023-12,Friday,<20
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90,2023-11,Monday, 30-40
268,2023-02-20,CUST268,Female,28,Electronics,1,30,30,2023-02,Monday,20-30
269,2023-02-01,CUST269,Male,25,Clothing,4,500,2000,2023-02,Wednesday,20-30
270,2023-07-26,CUST270,Male,43,Electronics,1,300,300,2023-07,Wednesday,40-50
271,2023-06-23,CUST271,Female,62,Beauty,4,30,120,2023-06,Friday,>60
272,2023-02-25,CUST272,Female,61,Electronics,2,50,100,2023-02,Saturday,>60
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50,2023-05,Monday,20-30
274,2023-04-09,CUST274,Female,23,Clothing,2,500,1000,2023-04,Sunday,20-30
275,2023-04-08,CUST275,Male,43,Clothing,2,500,1000,2023-04,Saturday,40-50
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100,2023-10,Monday,20-30
277,2023-08-18,CUST277,Male,36,Clothing,4,25,100,2023-08,Friday, 30-40
278,2023-03-13,CUST278,Female,37,Clothing,4,25,100,2023-03,Monday, 30-40
279,2023-08-05,CUST279,Male,50,Clothing,1,500,500,2023-08,Saturday,40-50
280,2023-04-04,CUST280,Female,37,Clothing,3,500,1500,2023-04,Tuesday, 30-40
281,2023-05-23,CUST281,Female,29,Beauty,4,500,2000,2023-05,Tuesday,20-30
282,2023-08-25,CUST282,Female,64,Electronics,4,50,200,2023-08,Friday,>60
283,2023-05-08,CUST283,Female,18,Electronics,1,500,500,2023-05,Monday,<20
284,2023-02-08,CUST284,Male,43,Clothing,4,50,200,2023-02,Wednesday,40-50
285,2023-08-15,CUST285,Female,31,Electronics,1,25,25,2023-08,Tuesday, 30-40
286,2023-10-09,CUST286,Male,55,Electronics,2,25,50,2023-10,Monday,50-60
287,2023-02-20,CUST287,Male,54,Clothing,4,25,100,2023-02,Monday,50-60
288,2023-01-26,CUST288,Male,28,Clothing,4,30,120,2023-01,Thursday,20-30
289,2023-11-30,CUST289,Male,53,Electronics,2,30,60,2023-11,Thursday,50-60
290,2023-10-04,CUST290,Female,30,Beauty,2,300,600,2023-10,Wednesday,20-30
291,2023-01-08,CUST291,Male,60,Clothing,2,300,600,2023-01,Sunday,50-60
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200,2023-02,Friday,<20
293,2023-05-02,CUST293,Male,50,Electronics,3,30,90,2023-05,Tuesday,40-50
294,2023-03-27,CUST294,Female,23,Clothing,3,30,90,2023-03,Monday,20-30
295,2023-07-28,CUST295,Female,27,Beauty,3,300,900,2023-07,Friday,20-30
296,2023-09-06,CUST296,Female,22,Clothing,4,300,1200,2023-09,Wednesday,20-30
297,2023-09-04,CUST297,Female,40,Electronics,2,500,1000,2023-09,Monday, 30-40
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200,2023-04,Thursday,20-30
299,2023-07-25,CUST299,Male,61,Electronics,2,500,1000,2023-07,Tuesday,>60
300,2023-01-31,CUST300,Female,19,Electronics,4,50,200,2023-01,Tuesday,<20
301,2023-03-26,CUST301,Male,30,Clothing,4,30,120,2023-03,Sunday,20-30
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600,2023-07,Friday,50-60
303,2023-01-02,CUST303,Male,19,Electronics,3,30,90,2023-01,Monday,<20
304,2023-07-19,CUST304,Female,37,Electronics,2,30,60,2023-07,Wednesday, 30-40
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30,2023-05,Tuesday,<20
306,2023-08-21,CUST306,Male,54,Electronics,1,50,50,2023-08,Monday,50-60
307,2023-05-27,CUST307,Female,26,Electronics,2,25,50,2023-05,Saturday,20-30
308,2023-08-05,CUST308,Female,34,Beauty,4,300,1200,2023-08,Saturday, 30-40
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25,2023-12,Saturday,20-30
310,2023-10-12,CUST310,Female,28,Beauty,1,25,25,2023-10,Thursday,20-30
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100,2023-12,Tuesday, 30-40
312,2023-09-07,CUST312,Male,41,Clothing,4,30,120,2023-09,Thursday,40-50
313,2023-03-21,CUST313,Female,55,Beauty,3,500,1500,2023-03,Tuesday,50-60
